OBJECTID *,IN_FID,NEAR_FID,NEAR_DIST,name_chk,dir_chk,Sensor_ID,MHN_ID
890,989,1999,9.626087,100,pass,IN-InDOT-V001-EB_I-94_SRC_2486,18164-18184-1
891,990,1963,26.028619,100,pass,IN-InDOT-V001-NB_I-65_SRC_2025,17830-17866-1
892,991,1886,11.853484,100,pass,IN-InDOT-V001-WB_I-94_SRC_17,17011-16936-1
893,992,1877,6.640886,100,pass,IN-InDOT-V001-WB_I-94_SRC_12,16786-16715-1
894,993,1877,6.49566,100,pass,IN-InDOT-V001-WB_I-94_SRC_11,16786-16715-1
895,994,1967,7.438015,100,pass,IN-InDOT-V001-NB_I-65_SRC_2504,17866-22248-1
896,995,1932,28.191894,100,pass,IN-InDOT-V001-WB_I-94_SRC_5,17524-17357-1
897,996,1966,9.231781,100,pass,IN-InDOT-V001-SB_I-65_SRC_2476,17861-17815-1
898,997,1966,0.641427,100,pass,IN-InDOT-V001-SB_I-65_SRC_2502,17861-17815-1
899,998,1956,0.905444,100,pass,IN-InDOT-V001-NB_I-65_SRC_2528,17812-17828-1
900,999,1932,26.649669,100,pass,IN-InDOT-V001-WB_I-94_SRC_2505,17524-17357-1
901,1000,2120,11.25624,100,pass,IN-InDOT-V001-SB_I-65_SRC_3158,22247-17878-1
902,1001,1948,20.530283,100,pass,IN-InDOT-V001-SB_I-65_SRC_2496,17787-17784-1
903,1002,1897,10.973247,100,pass,IN-InDOT-V001-EB_I-94_SRC_21,17180-17245-1
904,1003,1878,3.056255,100,pass,IN-InDOT-V001-EB_I-94_SRC_2056,16787-16895-1
905,1004,1888,9.297776,100,pass,IN-InDOT-V001-EB_I-94_SRC_18,17050-17063-1
906,1005,2003,7.126908,100,pass,IN-InDOT-V001-WB_I-94_SRC_3070,18183-18163-1
907,1006,1882,10.170881,100,pass,IN-InDOT-V001-EB_I-94_SRC_16,16930-16937-1
908,1007,1999,3.609613,100,pass,IN-InDOT-V001-EB_I-94_SRC_3070,18164-18184-1
909,1008,1920,6.279589,100,pass,IN-InDOT-V001-WB_I-94_SRC_7,17244-17167-1
910,1009,1890,11.108462,100,pass,IN-InDOT-V001-WB_I-94_SRC_19,17062-17051-1
911,1010,1957,15.252468,100,pass,IN-InDOT-V001-SB_I-65_SRC_2473,17814-17790-1
912,1011,2126,11.720872,100,pass,IN-InDOT-V001-SB_I-65_SRC_2503,22249-17861-1
913,1012,1932,27.78887,100,pass,IN-InDOT-V001-WB_I-94_SRC_24,17524-17357-1
914,1013,1872,15.984984,100,pass,IN-InDOT-V001-EB_I-94_SRC_11,16714-16787-1
915,1014,1932,20.744286,100,pass,IN-InDOT-V001-WB_I-94_SRC_2062,17524-17357-1
916,1015,1928,11.103115,100,pass,IN-InDOT-V001-EB_I-94_SRC_2505,17358-17523-1
917,1016,1925,11.567882,100,pass,IN-InDOT-V001-WB_I-94_SRC_22,17327-17244-1
918,1017,1920,21.118049,100,pass,IN-InDOT-V001-WB_I-94_SRC_21,17244-17167-1
919,1018,1991,14.29973,100,pass,IN-InDOT-V001-WB_I-94_SRC_2054,18122-22220-1
920,1019,1973,13.10895,100,pass,IN-InDOT-V001-NB_I-65_SRC_3158,17888-17927-1
921,1020,1897,11.909024,100,pass,IN-InDOT-V001-EB_I-94_SRC_2064,17180-17245-1
922,1021,1966,3.406057,100,pass,IN-InDOT-V001-SB_I-65_SRC_2471,17861-17815-1
923,1022,1973,34.049192,100,pass,IN-InDOT-V001-NB_I-65_SRC_3159,17888-17927-1
924,1023,1926,3.992587,100,pass,IN-InDOT-V001-EB_I-94_SRC_6,17328-17358-1
925,1024,1957,16.929481,100,pass,IN-InDOT-V001-SB_I-65_SRC_2032,17814-17790-1
926,1025,1926,11.704572,100,pass,IN-InDOT-V001-EB_I-94_SRC_22,17328-17358-1
927,1026,2066,6.399666,100,pass,IN-InDOT-V001-EB_I-94_SRC_27,22240-17726-1
928,1027,1949,31.103153,100,fail,IN-InDOT-V001-NB_I-65_SRC_2497,17790-17787-1
929,1028,1944,11.008032,100,pass,IN-InDOT-V001-WB_I-94_SRC_27,17724-22237-1
930,1029,1956,0.980889,100,pass,IN-InDOT-V001-NB_I-65_SRC_2040,17812-17828-1
931,1030,1963,3.357019,100,pass,IN-InDOT-V001-NB_I-65_SRC_2476,17830-17866-1
932,1031,1982,6.32268,100,pass,IN-InDOT-V001-SB_I-65_SRC_3160,17934-22247-1
933,1032,1966,2.501687,100,pass,IN-InDOT-V001-SB_I-65_SRC_2030,17861-17815-1
934,1033,1884,8.310771,100,pass,IN-InDOT-V001-EB_I-94_SRC_17,16937-17012-1
935,1034,1879,19.902674,100,pass,IN-InDOT-V001-WB_I-94_SRC_14,16894-16786-1
936,1035,1937,20.171228,100,pass,IN-InDOT-V001-WB_I-94_SRC_3,17576-22227-1
937,1036,1956,3.695807,100,pass,IN-InDOT-V001-NB_I-65_SRC_2032,17812-17828-1
